1,AGENCY,A,F,Agency responsible for production
2,BCNSHP,E,F,Beacon shape
3,BUISHP,E,F,Building shape
4,BOYSHP,E,F,Buoy shape
5,BURDEP,F,F,Buried depth
6,CALSGN,S,F,Call sign
7,CATAIR,L,F,Category of airport/airfield
8,CATACH,L,F,Category of anchorage
9,CATBRG,L,F,Category of bridge
10,CATBUA,E,F,Category of built-up area
11,CATCBL,E,F,Category of cable
12,CATCAN,E,F,Category of canal
13,CATCAM,E,F,Category of cardinal mark
14,CATCHP,E,F,Category of checkpoint
15,CATCOA,E,F,Category of coastline
16,CATCTR,E,F,Category of control point
17,CATCON,E,F,Category of conveyor
18,CATCOV,E,F,Category of coverage
19,CATCRN,E,F,Category of crane
20,CATDAM,E,F,Category of dam
21,CATDIS,E,F,Category of distance mark
22,CATDOC,E,F,Category of dock
23,CATDPG,L,F,Category of dumping ground
24,CATFNC,E,F,Category of fence/wall
25,CATFRY,E,F,Category of ferry
26,CATFIF,E,F,Category of fishing facility
27,CATFOG,E,F,Category of fog signal
28,CATFOR,E,F,Category of fortified structure
29,CATGAT,E,F,Category of gate
30,CATHAF,L,F,Category of harbour facility
31,CATHLK,L,F,Category of hulk
32,CATICE,E,F,Category of ice
33,CATINB,E,F,Category of installation buoy
34,CATLND,L,F,Category of land region
35,CATLMK,L,F,Category of landmark
36,CATLAM,E,F,Category of lateral mark
37,CATLIT,L,F,Category of light
38,CATMFA,E,F,Category of marine farm/culture
39,CATMPA,L,F,Category of military practice area
40,CATMOR,E,F,Category of mooring/warping facility
41,CATNAV,E,F,Category of navigation line
42,CATOBS,E,F,Category of obstruction
43,CATOFP,L,F,Category of offshore platform
44,CATOLB,E,F,Category of oil barrier
45,CATPLE,E,F,Category of pile
46,CATPIL,E,F,Category of pilot boarding place
47,CATPIP,L,F,Category of pipeline / pipe
48,CATPRA,E,F,Category of production area
49,CATPYL,E,F,Category of pylon
50,CATQUA,E,F,Category of quality of data
51,CATRAS,E,F,Category of radar station
52,CATRTB,E,F,Category of radar transponder beacon
53,CATROS,L,F,Category of radio station
54,CATTRK,E,F,Category of recommended track
55,CATRSC,L,F,Category of rescue station
56,CATREA,L,F,Category of restricted area
57,CATROD,E,F,Category of road
58,CATRUN,E,F,Category of runway
59,CATSEA,E,F,Category of sea area
60,CATSLC,E,F,Category of shoreline construction
61,CATSIT,L,F,Category of signal station - traffic
62,CATSIW,L,F,Category of signal station - warning
63,CATSIL,E,F,Category of silo/tank
64,CATSLO,E,F,Category of slope
65,CATSCF,L,F,Category of small craft facility
66,CATSPM,L,F,Category of special purpose mark
67,CATTSS,E,F,Category of Traffic Separation Scheme
68,CATVEG,L,F,Category of vegetation
69,CATWAT,E,F,Category of water turbulence
70,CATWED,E,F,Category of weed/kelp
71,CATWRK,E,F,Category of wreck
72,CATZOC,E,F,Category of zone of confidence data
73,$SPACE,E,$,Character spacing
74,$CHARS,A,$,Character specification
75,COLOUR,L,F,Colour
76,COLPAT,L,F,Colour pattern
77,COMCHA,A,F,Communication channel
78,$CSIZE,F,$,Compass size
79,CPDATE,A,F,Compilation date
80,CSCALE,I,F,Compilation scale
81,CONDTN,E,F,Condition
82,CONRAD,E,F,Conspicuous - Radar
83,CONVIS,E,F,Conspicuous - Visual
84,CURVEL,F,F,Current velocity
85,DATEND,A,F,Date end
86,DATSTA,A,F,Date start
87,DRVAL1,F,F,Depth range value 1
88,DRVAL2,F,F,Depth range value 2
89,DUNITS,E,F,Depth units
90,ELEVAT,F,F,Elevation
91,ESTRNG,F,F,Estimated range of transmission
92,EXCLIT,E,F,Exhibition condition of light
93,EXPSOU,E,F,Exposition of sounding
94,FUNCTN,L,F,Function
95,HEIGHT,F,F,Height
96,HUNITS,E,F,Height/length units
97,HORACC,F,F,Horizontal accuracy
98,HORCLR,F,F,Horizontal clearance
99,HORLEN,F,F,Horizontal length
100,HORWID,F,F,Horizontal width
101,ICEFAC,F,F,Ice factor
